title,rating,rating_counts
Anaconda,2.75,6
Anacondas: The Hunt for the Blood Orchid,2.25,8
Analyze That,3.2857142857142856,14
Analyze This,3.6858974358974357,78
Anastasia,3.2083333333333335,48
Anatomy,3.4166666666666665,6
Anchorman 2: The Legend Continues,3.6875,8
And So It Goes,4.133333333333334,15
And Then Came Love,4.5,4
Anderson's Cross,1.25,2
Angel Eyes,3.7,5
Angela's Ashes,3.625,4
Angels & Demons,3.7857142857142856,126
Animal House,1.3333333333333333,3
Animals,3.25,8
Animals United,3.25,2
Anna Karenina,3.383116883116883,77
Anna and the King,3.8333333333333335,9
Annabelle,3.5714285714285716,7
Anne of Green Gables,3.4166666666666665,6
Annie,3.25,58
Annie Get Your Gun,2.5,2
Annie Hall,2.2857142857142856,7
Anomalisa,4.0,3
Anonymous,2.8333333333333335,3
Another Earth,4.25,2
Another Happy Day,2.6666666666666665,18
Another Year,2.9,5
Ant-Man,3.9754098360655736,122
Antarctic Edge: 70° South,4.0,1
Antarctica: A Year on Ice,3.6153846153846154,13
Antibirth,3.3333333333333335,3
Antitrust,2.7083333333333335,12
Antiviral,3.5,2
Antwone Fisher,2.75,12
Any Given Sunday,3.3181818181818183,11
Anything Else,3.0,7
Anywhere But Here,3.6875,8
Apocalypse Now,3.0,2
Apocalypto,3.625,8
Apollo 13,1.75,2
Apollo 18,3.3043478260869565,23
Appaloosa,3.409090909090909,22
April Fool's Day,3.357142857142857,21
Aqua Teen Hunger Force Colon Movie Film for Theaters,3.142857142857143,7
Aquamarine,3.7941176470588234,34
Arachnophobia,3.642857142857143,42
Ararat,3.7011494252873565,87
Arbitrage,2.8333333333333335,6
Archaeology of a Woman,1.8181818181818181,11
Are We There Yet?,3.638888888888889,18
Area 51,3.7,15
Argo,3.1875,8
Arlington Road,3.3333333333333335,63
Armageddon,4.25,2
Armored,3.6666666666666665,39
Army of Darkness,4.0,1
Arn: The Knight Templar,3.0625,8
Around the World in 80 Days,3.430327868852459,122
Aroused,5.0,1
Arthur Christmas,3.7604166666666665,48
Arthur and the Invisibles,3.64,50
"As Above, So Below",3.8636363636363638,11
As It Is in Heaven,2.5,4
Ask Me Anything,3.7941176470588234,17
Assassins,3.5403225806451615,62
Assault on Precinct 13,3.2,5
Asterix at the Olympic Games,4.0,1
Astro Boy,3.338709677419355,31
At First Sight,3.0,16
Atlantis: The Lost Empire,3.866412213740458,131
Atlas Shrugged Part II,3.25,4
Atlas Shrugged Part III: Who is John Galt?,2.7857142857142856,7
Attack the Block,4.05,10
August,3.811320754716981,53
August Rush,3.5297619047619047,84
August: Osage County,4.096153846153846,26
Austin Powers in Goldmember,4.0,1
Austin Powers: The Spy Who Shagged Me,2.5,4
Australia,3.9565217391304346,23
Auto Focus,4.083333333333333,6
Automata,3.75,4
Autumn in New York,3.5555555555555554,27
Avatar,3.111111111111111,45
Avengers: Age of Ultron,3.9583333333333335,48
Awake,3.3,5
Away We Go,2.810810810810811,37
Ayurveda: Art of Being,3.9285714285714284,7
B-Girl,2.125,4
Baahubali: The Beginning,3.357142857142857,28
Babe,3.25,14
Babe: Pig in the City,3.90625,16
Baby Boy,3.1666666666666665,3
Baby Geniuses,4.0,10
Baby Mama,3.4634146341463414,41
Baby's Day Out,3.3484848484848486,33
Babylon A.D.,2.5952380952380953,42
Bachelorette,2.0,2
Back to the Future,3.6052631578947367,19
Back to the Future Part II,3.3421052631578947,19
Back to the Future Part III,2.8472222222222223,36
Backmask,3.75,2
Bad Boys,4.0,7
Bad Boys II,3.0,2
Bad Company,3.25,4
Bad Grandpa,3.269230769230769,13
Bad Moms,3.8076923076923075,13
Bad Santa,3.8947368421052633,19
Bad Teacher,3.125,20
Bad Words,3.566666666666667,15
Baggage Claim,3.9285714285714284,7
Baghead,3.7,5
Bait,3.4444444444444446,36
Ballistic: Ecks vs. Sever,3.5625,16
Bambi,4.0,7
Bamboozled,3.9,5
Bananas,4.333333333333333,3
Bandidas,4.0,1
Bandits,2.7142857142857144,7
Bandslam,3.7152777777777777,72
Bang,3.1818181818181817,22
Bang Bang Baby,4.166666666666667,6
Bangkok Dangerous,3.269230769230769,13
Banshee Chapter,3.75,10
Barbarella,2.5,2
Barbecue,2.9285714285714284,14
Barbershop,3.534090909090909,44
Barbershop 2:  Back in Business,3.727272727272727,11
Barney's Great Adventure,3.411764705882353,17
Barney's Version,2.1666666666666665,6
Barnyard,3.3,15
Barry Lyndon,3.0,6
Barry Munday,2.0,3
Basic,3.5277777777777777,18
Basic Instinct 2,2.25,2
Basquiat,2.75,2
Bathing Beauty,2.375,4
Bathory: Countess of Blood,3.739130434782609,23
Batman & Robin,2.0,1
Batman Begins,4.005128205128205,195
Batman Returns,3.3984375,64
Batman v Superman: Dawn of Justice,3.5625,48
"Batman: The Dark Knight Returns, Part 2",3.7435897435897436,39
Bats,3.1666666666666665,3
Battle for the Planet of the Apes,4.0,2
Battle of the Year,3.7586206896551726,29
Battle: Los Angeles,3.814814814814815,54
Battlefield Earth,4.170792079207921,202
Battleship,3.95,230
Be Cool,3.292207792207792,77
Be Kind Rewind,3.206896551724138,29
Beastly,2.5,3
Beastmaster 2: Through the Portal of Time,4.0,2
Beasts of the Southern Wild,3.5,2
Beat the World,2.35,10
Beautiful Creatures,4.055555555555555,27
Beauty Shop,3.0,3
Beavis and Butt-Head Do America,2.6666666666666665,3
Because I Said So,3.52,25
Because of Winn-Dixie,3.6578947368421053,38
Becoming Jane,3.5,1
Bedazzled,3.1666666666666665,3
Bedtime Stories,2.859375,32
Bee Movie,3.5434782608695654,23
Beer League,3.625,4
Beerfest,4.166666666666667,9
Beetlejuice,3.75,4
Before I Go to Sleep,3.75,24
Before Midnight,3.1,5
Before Sunrise,3.0,2
Before Sunset,3.5,1
Begin Again,3.6666666666666665,3
Beginners,3.5,6
Behind Enemy Lines,2.5,10
Being John Malkovich,3.4615384615384617,13
Being Julia,3.5833333333333335,6
Bella,3.0,5
Beloved,3.0,9
Below Zero,3.8333333333333335,15
Ben-Hur,2.86046511627907,43
Bend It Like Beckham,2.7,10
Bending Steel,4.0,1
Beneath Hill 60,3.3333333333333335,3
Beneath the Planet of the Apes,3.1666666666666665,3
Benji,3.1,5
Bernie,3.875,4
Best in Show,3.8333333333333335,3
Better Luck Tomorrow,4.0,2
Betty Fisher and Other Stories,2.625,4
Beverly Hills Chihuahua,3.08,50
Beverly Hills Cop,3.5652173913043477,23
Beverly Hills Cop II,0.5,1
Beverly Hills Cop III,2.5714285714285716,35
Beyond Borders,3.8545454545454545,55
Beyond the Black Rainbow,3.5,3
Beyond the Lights,2.55,10
Beyond the Mat,3.59375,16
Beyond the Sea,4.125,4
Beyond the Valley of the Dolls,3.875,4
Bicentennial Man,3.9696969696969697,33
Big,2.5,1
Big Daddy,3.217391304347826,46
Big Eyes,3.5,3
Big Fat Liar,3.5,9
Big Fish,2.875,20
Big Hero 6,3.636986301369863,219
Big Miracle,3.0833333333333335,18
Big Momma's House,3.9473684210526314,38
Big Momma's House 2,2.7333333333333334,15
"Big Mommas: Like Father, Like Son",3.6636363636363636,55
Big Trouble,3.75,36
Big Trouble in Little China,2.25,2
Bill & Ted's Bogus Journey,3.388888888888889,18
Bill & Ted's Excellent Adventure,4.0,2
Billy Elliot,3.0,1
Birdman,2.8181818181818183,11
Birth,4.0227272727272725,22
Birthday Girl,3.5,1
Biutiful,3.239130434782609,23
Bizarre,3.0,2
Black Book,3.7083333333333335,12
Black Christmas,2.0833333333333335,6
Black Hawk Down,3.289473684210526,95
Black Knight,3.75,12
Black Mass,3.783333333333333,30
Black Nativity,4.0,11
Black November,3.357142857142857,7
Black Rain,2.25,2
Black Rock,1.125,4
Black Snake Moan,2.9,10
Black Swan,3.717391304347826,23
Black Water Transit,3.792682926829268,41
Black or White,3.8333333333333335,3
Blackhat,2.25,2
Blackthorn,2.6666666666666665,3
Blade,3.5161290322580645,31
Blade II,3.35,10
Blade Runner,4.0,1
Blade: Trinity,3.484848484848485,33
Blades of Glory,4.12,25
Blast from the Past,3.0,6
Blazing Saddles,2.8,5
Bled,4.5,2
Bleeding Hearts,4.0,2
Blended,2.625,12
Bless the Child,2.34375,16
Blindness,2.1666666666666665,3
Blonde Ambition,3.3333333333333335,6
Blood Diamond,3.5324074074074074,108
Blood Done Sign My Name,3.4583333333333335,12
Blood Ties,2.0833333333333335,6
Blood Work,4.102564102564102,39
Blood and Chocolate,3.03125,16
Blood and Wine,2.25,4
BloodRayne,3.75,4
Bloodsport,3.705357142857143,112
Bloody Sunday,3.0384615384615383,13
Blow,3.5,1
Blow Out,3.9642857142857144,14
Blue Car,3.7,10
Blue Crush,2.45,10
Blue Jasmine,3.9375,16
Blue Ruin,1.6666666666666667,3
Blue Streak,3.8413793103448275,145
Blue Valentine,4.666666666666667,3
Boat Trip,3.5,4
Bobby,3.9318181818181817,22
Bobby Jones: Stroke of Genius,4.0,9
Body Double,3.25,2
Body of Lies,3.3142857142857145,35
Bodyguards and Assassins,3.95,10
Boiler Room,2.7222222222222223,9
Bolt,4.131818181818182,110
Bon Cop Bad Cop,3.5,2
Bon voyage,2.85,10
Boogeyman,0.5,1
Boogie Nights,2.625,4
Book of Shadows: Blair Witch 2,3.65625,16
Boom Town,1.7307692307692308,13
Boomerang,3.2083333333333335,12
Born Of War,2.275,20
Born on the Fourth of July,3.4761904761904763,21
Born to Fly: Elizabeth Streb vs. Gravity,3.3666666666666667,15
Bottle Rocket,3.590909090909091,22
Bottle Shock,3.1666666666666665,9
Bound,2.875,8
Bound by Honor,3.2884615384615383,26
Bowfinger,3.5,13
Bowling for Columbine,2.5,1
Boyhood,2.9,5
Boynton Beach Club,2.5,3
Boys Don't Cry,2.5,2
Boys and Girls,3.6,5
Boyz n the Hood,2.5,1
Bran Nue Dae,3.6666666666666665,9
Brave,3.788793103448276,116
Brave New Girl,1.0,2
Braveheart,3.6,35
Brazil,3.5,1
Breakdown,3.375,4
Breakfast of Champions,2.5,2
Breakin' All the Rules,3.9,5
Breaking Upwards,3.3541666666666665,24
Brick Lane,3.25,2
Brick Mansions,3.7,5
Bride & Prejudice,3.5714285714285716,7
Bride Wars,3.6818181818181817,11
Bride of Chucky,2.8333333333333335,3
Bridesmaids,4.0,4
Bridge of Spies,2.797872340425532,47
Bridge to Terabithia,2.9,5
Bridget Jones's Diary,2.4166666666666665,6
Bridget Jones: The Edge of Reason,2.2142857142857144,7
"Bright Lights, Big City",3.5,15
Bright Star,3.25,4
Brighton Rock,2.2,10
Bring It On,3.9285714285714284,7
Bringing Down the House,3.972826086956522,92
Bringing Out the Dead,3.5615384615384613,65
Brokeback Mountain,2.7,5
Brokedown Palace,2.5,3
Broken Arrow,3.4044117647058822,68
Broken City,3.8333333333333335,3
Broken Horses,3.2857142857142856,7
Broken Vessels,1.5,3
Bronson,2.3333333333333335,3
Brooklyn,3.2,5
Brooklyn Rules,2.2857142857142856,7
Brooklyn's Finest,3.4705882352941178,17
Brother,2.3461538461538463,13
Brotherly Love,4.583333333333333,6
Brothers,3.782608695652174,23
Brown Sugar,3.5,2
Bruce Almighty,3.377551020408163,147
Brüno,3.090909090909091,11
Bubba Ho-tep,3.0,1
Bubble Boy,3.3214285714285716,14
Bucky Larson: Born to Be a Star,3.9166666666666665,6
Buffalo '66,4.0,17
Buffalo Soldiers,3.5,6
Bullet to the Head,3.7205882352941178,34
Bulletproof Monk,3.9615384615384617,39
Bullets Over Broadway,3.94,25
Bully,2.0,2
Bulworth,3.6357142857142857,70
Buried,4.833333333333333,3
Burlesque,2.203125,32
Burn,3.0,6
Burn After Reading,3.6,15
Burnt,3.6666666666666665,9
But I'm a Cheerleader,3.71875,32
Butch Cassidy and the Sundance Kid,4.0,7
Butterfly,4.333333333333333,3
Butterfly Girl,4.5,4
Butterfly on a Wheel,3.413793103448276,29
By the Sea,2.6,15
C.H.U.D.,2.5,12
CJ7,3.576923076923077,13
Ca$h,3.5625,8
Cabin Fever,3.2857142857142856,7
Caddyshack,4.166666666666667,3
Cadillac Records,3.6875,8
Call + Response,4.0,1
Camping Sauvage,2.142857142857143,7
Can't Hardly Wait,3.2777777777777777,9
Can't Stop the Music,3.3823529411764706,17
Cape Fear,4.0,1
Capitalism: A Love Story,3.6578947368421053,19
Capote,2.6,5
Capricorn One,3.0,9
Captain America: Civil War,3.6818181818181817,88
Captain America: The Winter Soldier,3.058139534883721,43
Captain Corelli's Mandolin,3.0,4
Captain Phillips,3.6102362204724407,127
Captive,2.75,2
Caramel,2.5,6
Caravans,3.611111111111111,9
Cargo,3.5,2
Carlos,3.1666666666666665,3
Carnage,2.25,4
Carousel of Revenge,3.0,1
Carrie,3.4583333333333335,12
Carriers,2.5,2
Cars,3.6666666666666665,3
Casa De Mi Padre,3.5,3
Casablanca,3.0,2
Case 39,3.2857142857142856,7
Casino,3.792682926829268,41
Casino Jack,3.0,4
Casino Royale,2.7096774193548385,31
Casper,3.9487632508833923,283
Cast Away,3.25,46
Cat People,3.033333333333333,15
Cat on a Hot Tin Roof,3.0,9
Catch Me If You Can,4.75,2
Catch That Kid,3.875,16
Catch a Fire,2.0,1
Catch-22,4.023809523809524,21
Cats & Dogs,3.2,60
Cats & Dogs 2 : The Revenge of Kitty Galore,3.474747474747475,99
Cats Don't Dance,3.2169811320754715,53
Catwoman,3.6666666666666665,30
Cavite,2.8333333333333335,3
Cecil B. Demented,3.0,3
Cedar Rapids,3.25,24
Celebrity,2.8636363636363638,11
Celeste & Jesse Forever,3.375,4
Cellular,3.7058823529411766,17
Censored Voices,3.680327868852459,61
Center Stage,4.104166666666667,24
Central Intelligence,3.328125,32
Central Station,2.75,4
Centurion,2.912280701754386,57
Certifiably Jonathan,2.9893617021276597,47
Chain Letter,1.5,2
Chain Reaction,3.525,20
Chain of Command,1.75,2
Chairman of the Board,4.0,2
Changeling,4.0,2
Changing Lanes,2.5,1
Chappie,3.520408163265306,49
Character,2.8333333333333335,3
Chariots of Fire,4.0,2
Charlie Bartlett,3.1666666666666665,3
Charlie St. Cloud,2.590909090909091,22
Charlie Wilson's War,3.2,10
Charlie and the Chocolate Factory,3.625,4
Charlie's Angels,3.5,1
Charlie's Angels: Full Throttle,3.9307692307692306,65
Charlotte's Web,4.181818181818182,66
Charly,4.0,5
Chasing Amy,2.0,1
Chasing Liberty,3.652173913043478,23
Chasing Mavericks,3.5,58
Chasing Papi,2.875,16
Cheap Thrills,3.1,5
Cheaper by the Dozen,3.7,5
Cheaper by the Dozen 2,2.7045454545454546,22
Checkmate,3.4166666666666665,6
Cheri,2.8333333333333335,3
Chernobyl Diaries,4.0,1
Chiamatemi Francesco - Il Papa della gente,2.642857142857143,7
Chicago,3.1363636363636362,11
Chicago Overcoat,3.5,8
Chicken Little,4.131578947368421,38
Chicken Run,2.8333333333333335,27
Chicken Tikka Masala,3.0,4
Child 44,3.0555555555555554,9
Child's Play,3.5,3
Child's Play 2,2.9642857142857144,14
Childless,4.0,1
Children of Heaven,2.375,4
Children of Men,3.9838709677419355,31
Chill Factor,5.0,1
Chloe,3.0555555555555554,9
Chocolat,3.5,1
Chocolate: Deep Dark Secrets,4.285714285714286,7
Choke,2.772727272727273,11
Christmas Eve,3.267857142857143,28
Christmas Mail,3.75,2
Christmas with the Kranks,3.6818181818181817,11
Chronicle,3.9838709677419355,31
Chuck & Buck,3.6666666666666665,6
Cinco de Mayo: La Batalla,3.3181818181818183,22
Cinderella,3.9444444444444446,81
Cinderella Man,3.5,5
Circle,3.3306451612903225,124
Circumstance,3.75,4
Cirque du Freak: The Vampire's Assistant,3.8627450980392157,102
Cirque du Soleil: Worlds Away,3.0714285714285716,7
City By The Sea,3.0,8
City Hall,3.125,12
City Island,4.142857142857143,7
City of Angels,3.308219178082192,73
City of Ember,2.3958333333333335,24
City of Ghosts,3.1,5
City of God,2.7222222222222223,9
City of Life and Death,3.375,4
Civil Brand,3.6818181818181817,11
Clash of the Titans,3.4347826086956523,46
Class of 1984,2.625,8
Clay Pigeons,3.7,5
Clean,2.5,7
Clear and Present Danger,3.6363636363636362,22
Cleopatra,3.1458333333333335,24
Clerks II,1.5,2
Click,3.887323943661972,71
Cliffhanger,2.966666666666667,30
Clockstoppers,2.4,5
Clockwatchers,3.016949152542373,59
Close Range,3.9,5
Closer,4.375,4
Closer to the Moon,3.1923076923076925,13
Cloud Atlas,3.693548387096774,31
Cloudy with a Chance of Meatballs,3.272727272727273,66
Cloudy with a Chance of Meatballs 2,3.5625,64
Cloverfield,3.892857142857143,28
Club Dread,4.166666666666667,15
Clueless,2.375,8
Coach Carter,3.25,12
Coal Miner's Daughter,3.548611111111111,72
Coco Before Chanel,4.0,7
Code 46,3.5,4
Code Name: The Cleaner,3.6,15
Code of Honor,3.6956521739130435,23
Coffee Town,2.7142857142857144,7
Cold Mountain,3.5113636363636362,44
Collateral,3.5146198830409356,171
Collateral Damage,3.283333333333333,30
College,2.5,7
Colombiana,3.519607843137255,51
Come Early Morning,3.5,3
Coming Home,0.6666666666666666,3
Commando,3.888888888888889,18
Compadres,2.5,3
Compliance,3.0,1
Con Air,4.5,1
Conan the Barbarian,3.5232558139534884,43
Conan the Destroyer,2.5,16
Concussion,3.76,25
Confessions of a Dangerous Mind,4.5,1
Confessions of a Teenage Drama Queen,3.7,5
Confidence,2.65625,16
Congo,3.25,32
Connie and Carla,2.973684210526316,19
Conquest of the Planet of the Apes,5.0,1
Conspiracy Theory,3.9153846153846152,65
Contact,4.0,67
Contagion,4.200934579439252,107
Containment,2.25,2
Contraband,2.75,2
Control,4.0,3
Conversations with Other Women,3.3333333333333335,3
Cop Land,4.25,2
Cop Out,3.5,3
Copycat,3.3,25
Copying Beethoven,2.0,1
Coraline,2.5538461538461537,65
Coriolanus,2.8333333333333335,15
Corky Romano,3.1666666666666665,3
Cotton Comes to Harlem,2.6666666666666665,3
Counting,3.5,1
Country Strong,3.4722222222222223,18
Couples Retreat,3.507575757575758,66
Courage Under Fire,3.0714285714285716,14
Courageous,2.05,10
Coyote Ugly,3.3,5
Cradle 2 the Grave,3.710526315789474,19
Cradle Will Rock,3.1129032258064515,31
Crank,4.0,34
Crank: High Voltage,3.4074074074074074,27
Crazy Heart,3.0,4
Crazy Stone,3.5,3
Crazy in Alabama,3.3636363636363638,11
"Crazy, Stupid, Love.",2.111111111111111,9
